DomainValueId;Description
724;Evaporitos: halita
725;Rocha não-consolidada
726;Rocha não-consolidada: fluvial
727;Rocha não-consolidada: lacustre
728;Rocha não-consolidada: marinha
729;Rocha não-consolidada: coluvionar
730;Rocha não-consolidada: eólica
731;Rocha não-consolidada: glacial
732;Rocha não-consolidada: piroclástica
733;Rocha não-consolidada: orgânica
734;Fragmentos minerais primários: quartzo
735;Fragmentos minerais primários: quartzito
736;Fragmentos minerais primários: chert
737;Fragmentos minerais primários: mica
738;Fragmentos minerais primários: feldspato
739;Fragmentos minerais primários: granito
740;Fíbrico, grau de decomposição/humificação muito baixo
741;Fíbrico, grau de decomposição/humificação baixo
742;Fíbrico, grau de decomposição/humificação moderado
743;Hêmico, grau de decomposição/humificação forte
744;Médio (2-5 mm)
745;Hêmico, grau de decomposição/humificação moderadamente forte
746;Sáprico, grau de decomposição/humificação muito forte
789;Moderado
747;Húmus cru ('mor' aeromórfico)
748;Bruno-avermelhado
749;'Moder' ('mull' inferior)
750;'Mull'
751;Nenhum (0%)
752;Muito pouco (0-2%)
753;Pouco (2-5%)
754;Comum (5-15%)
755;Muito (15-40%)
756;Abundante (> 40%)
757;Muito pequeno (< 2 mm)
758;Pequeno (2-6 mm)
759;Médio (6-20 mm)
2261;Janeiro
761;Fraco
762;Distinto
763;Proeminente
764;Abrupto (< 0,5 mm)
765;Claro (0,5-2 mm)
766;Difuso (> 2 mm)
767;Não-calcáreo (0%)
768;Ligeiramente calcáreo (0-2%)
769;Moderadamente calcáreo (2-10%)
770;Fortemente calcáreo (10-25%)
771;Extremamente calcáreo (> 25%)
772;Concreções macias
773;Concreções duras
774;Concreções ocas rígidas
775;Cal em pó disperso
776;Pseudomicélio (preenchimentos de carbonato nos poros, assemelhando-se a micélios)
777;Camada de marga
778;Camada cimentada dura ou camadas de carbonatos (menos de 10 cm de espessura)
779;Não-gipsítico (0%)
780;Ligeiramente gipsítico (0-5%)
781;Moderadamente gipsítico (5-15%)
782;Fortemente gipsítico (15-60%)
783;Extremamente gipsítico (> 60%)
784;Concreções macias
785;Gesso em pó disperso
786;'Gazha' (camada argilosa saturada com água e com teor elevado de gesso)
787;Camada cimentada dura ou camadas de gesso (menos de 10 cm de espessura)
788;Fraco
790;Forte
791;Ligeiramente duro
792;Duro
793;Muito duro
794;Fraca a moderada
888;Planares
795;Moderada a forte
851;Friável a firme
852;Firme a muito firme
853;Não-pegajoso
854;Ligeiramente pegajoso
855;Pegajoso
856;Muito pegajoso
857;Ligeiramente pegajoso a pegajoso
858;Pegajoso a muito pegajoso
859;Não-plástico
860;Ligeiramente plástico
861;Plástico
862;Muito plástico
863;Ligeiramente plástico a plástico
864;Plástico a muito plástico
865;Muito seco
866;Seco
867;Ligeiramente úmido
868;Úmido
869;Molhado
870;Muito molhado
871;Suja os dedos, é coesiva (pegajosa), é moldável, tem elevada plasticidade e apresenta superfície brilhante depois de apertada entre os dedos.
872;Suja os dedos, não é pegajoso, apenas fracamente moldável, tem superfície áspera e rachada depois de espremer entre os dedos e dá sensação farinácea (como pó de talco).
873;Não pode ser moldada, não suja os dedos e dá sensação de muita aspereza.
874;Muito baixa (< 2%)
875;Baixa (2-5%)
876;Média (5-15%)
877;Alta (15-40%)
878;Muito alta (> 40%)
879;Intersticial
880;Estrutura primária quebra-se em secundária
881;Ambas as estruturas presentes
882;Uma estrutura fundindo-se à outra
883;Vesicular
884;Descontínuo
885;Veios
886;Grande (> 5 mm)
887;Canais
889;Muito pequeno (< 0,5 mm)
890;Pequeno (0,5-2 mm)
891;Médio (2-5 mm)
892;Grande (5-20 mm)
893;Muito grande (20-50 mm)
894;Nenhum
895;Muito poucos
896;Poucos
897;Comuns
898;Muitos
899;Pequeno e médio (0,5-5 mm)
900;Pequeno e muito pequeno (< 2 mm)
901;Médio e grande (2-20 mm)
902;Fraco
903;Distinto
904;Proeminente
905;Argila
906;Sesquióxidos
907;Húmus
908;Argila e sesquióxidos
909;Argila e húmus (matéria orgânica)
910;Carbonato de cálcio
911;Gibbsita
912;Revestimentos hipodérmicos
913;Jarosita
914;Manganês
915;Sílica (opala)
