DomainId;Name
116;"Domínio de valores para litologia/material parental (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
147;"Domínio de valores para frequência de inundação (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
117;"Domínio de valores para forma da vertente (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
118;"Domínio de valores para forma da superfície local (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
119;"Domínio de valores para textura do material parental não-consolidado (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
120;"Domínio de valores para drenagem superficial (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
121;"Domínio de valores para posição no componente de terreno (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
122;"Domínio de valores para tipo de erosão/deposição (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
123;"Domínio de valores para sensibilidade ao selamento superficial (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
124;"Domínio de valores para profundidade potencial de enraizamento (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
125;"Domínio de valores para taxa de infiltração (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
126;"Domínio de valores para material orgânico superficial (definido em ""Keys to Soil Taxonomy - Ninth Edition"", Washington DC: US Department of Agriculture, 2003."
127;"Domínio de valores para horizonte diagnóstico (definido em ""FAO-Unesco Soil Map of the World - Revised legend with corrections"", Roma: FAO, 1990."
128;"Domínio de valores para propriedades diagnósticas (definido em ""FAO-Unesco Soil Map of the World - Revised legend with corrections"", Roma: FAO, 1990."
129;"Domínio de valores para grau da estrutura dos materiais pédicos do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
130;"Domínio de valores para tamanho dos elementos estruturais (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen:  ISRIC - World Soil Information, 1995."
131;"Domínio de valores para tipo de estrutura (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
132;"Domínio de valores para mineralogia da argla (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen:  ISRIC - World Soil Information, 1995."
133;"Domínio de valores para grau da estrutura dos materiais pédicos do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
134;"Domínio de valores para tipo de estrutura (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
135;"Domínio de valores para litologia geral (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen:  ISRIC - World Soil Information, 1995."
136;"Domínio de valores para fase (1974) (definido em ""FAO-Unesco Soil Map of the World 1:5.000.000. Volume I, Legend"", Paris: Unesco, 1974."
137;"Domínio de valores para Reference Soil Group (WRB, 2006) (definido em ""ISRIC-WISE Harmonized Global Soil Profile Dataset (Ver. 3.1). Report 2008/02"", Wageningen: ISRIC - World Soil Information, 2008."
138;"Domínio de valores para clima (definido em ""ISRIC-WISE Harmonized Global Soil Profile Dataset (Ver. 3.1). Report 2008/02"", Wageningen: ISRIC - World Soil Information, 2008."
139;"Domínio de valores para material parental/rocha parental (definido em ""McGraw-Hill dictionary of earth sciences"", New York: McGraw-Hill Book Company, 1984."
